name_ar,name_en,description_ar,description_en,url,provider,duration_hours,difficulty_level,language,subject,subtitle,university,skills
دورة البرمجة الأساسية,Basic Programming,تعلم أساسيات البرمجة من الصفر,Learn programming fundamentals from scratch,https://example.com/course/programming-basics,Coursera,40,beginner,ar,علوم الحاسب,مقدمة شاملة للبرمجة,جامعة ستانفورد,البرمجة
تحليل البيانات باستخدام Python,Data Analysis with Python,تعلم تحليل البيانات باستخدام بايثون والمكتبات المتخصصة,Learn data analysis using Python and specialized libraries,https://example.com/course/data-analysis-python,Udacity,60,intermediate,ar,علوم البيانات,تحليل البيانات للمحترفين,معهد ماساتشوستس للتقنية,تحليل البيانات
إدارة المشاريع الاحترافية,Professional Project Management,مبادئ وممارسات إدارة المشاريع وفق معايير PMP,Project management principles and practices according to PMP standards,https://example.com/course/project-management,LinkedIn Learning,35,intermediate,ar,إدارة الأعمال,شهادة PMP المعتمدة,جامعة هارفارد للأعمال,إدارة المشاريع
التسويق الرقمي المتقدم,Advanced Digital Marketing,استراتيجيات التسويق الرقمي والإعلان عبر الإنترنت,Digital marketing strategies and online advertising,https://example.com/course/digital-marketing,Google Digital Garage,45,advanced,ar,التسويق,إتقان التسويق الرقمي,أكاديمية جوجل,التسويق الرقمي
الأمن السيبراني للمبتدئين,Cybersecurity Basics,مقدمة في الأمن السيبراني وحماية المعلومات,Introduction to cybersecurity and information security,https://example.com/course/cybersecurity-basics,Cybrary,30,beginner,ar,أمن المعلومات,أساسيات حماية البيانات,جامعة كارنيجي ميلون,الأمن السيبراني
تطوير تطبيقات الجوال,Mobile App Development,تطوير تطبيقات الجوال باستخدام React Native,Mobile app development using React Native,https://example.com/course/mobile-dev,Udemy,50,intermediate,ar,تطوير البرمجيات,بناء تطبيقات iOS و Android,جامعة كاليفورنيا,تطوير التطبيقات
القيادة الاستراتيجية,Strategic Leadership,مهارات القيادة واتخاذ القرارات الاستراتيجية,Leadership skills and strategic decision making,https://example.com/course/strategic-leadership,Harvard Online,25,advanced,ar,القيادة والإدارة,تطوير المهارات القيادية,كلية هارفارد للأعمال,القيادة
إدارة الموارد البشرية,Human Resources Management,إدارة الموارد البشرية والتطوير الوظيفي,Human resources management and career development,https://example.com/course/hr-management,SHRM,40,intermediate,ar,الموارد البشرية,استراتيجيات إدارة الموظفين,جامعة كورنيل,الموارد البشرية
التحليل المالي المتقدم,Advanced Financial Analysis,تحليل القوائم المالية وإعداد التقارير,Financial statement analysis and reporting,https://example.com/course/financial-analysis,CFA Institute,55,advanced,ar,المالية والمحاسبة,التحليل المالي الاحترافي,معهد المحللين الماليين,التحليل المالي
التواصل الفعال,Effective Communication,مهارات التواصل والإقناع في بيئة العمل,Communication and persuasion skills in workplace,https://example.com/course/communication,Dale Carnegie,20,beginner,ar,مهارات شخصية,إتقان فن التواصل,أكاديمية ديل كارنيجي,مهارات التواصل
